[13, 3, 5, 13, 10, 3, 14, 3, 2, 21, 10, 9, 8, 13, 6, 21, 4, 13, 13, 7, 16, 0, 1, 8, 14, 15, 8, 9, 5, 6, 16, 19, 2, 5, 9, 0, 2, 8, 6, 8, 21, 22, 9, 8, 0, 14, 0, 7, 3, 19, 8, 22, 15, 23, 17, 3, 9, 10, 0, 3, 21, 6, 5, 8, 0, 3, 19, 9, 4, 21, 16, 4, 15, 19, 0, 20, 4, 15, 19, 21, 0, 4, 1, 17, 3, 8, 9, 22, 2, 10, 15, 9, 9, 19, 4, 13, 23, 10, 23, 5, 23]
[13, 20, 9, 13, 10, 4, 14, 7, 9, 21, 10, 9, 9, 13, 15, 16, 4, 13, 13, 15, 16, 0, 14, 6, 22, 15, 1, 2, 5, 6, 16, 19, 2, 6, 8, 0, 2, 8, 6, 8, 21, 22, 9, 8, 0, 14, 0, 7, 3, 19, 8, 22, 15, 23, 17, 3, 13, 22, 20, 16, 19, 9, 5, 5, 4, 10, 20, 2, 8, 21, 13, 10, 15, 10, 19, 20, 4, 15, 19, 21, 0, 4, 4, 16, 3, 6, 19, 14, 2, 8, 15, 9, 9, 19, 22, 13, 23, 17, 23, 23, 23]
[13, 0, 7, 21, 10, 16, 7, 0, 5, 21, 10, 10, 22, 14, 6, 0, 7, 13, 5, 17, 8, 17, 19, 21, 14, 9, 1, 2, 5, 2, 20, 15, 5, 22, 9, 6, 17, 15, 9, 16, 23, 21, 2, 6, 2, 4, 0, 0, 21, 4, 13, 19, 0, 4, 10, 22, 20, 6, 17, 17, 17, 0, 15, 17, 0, 14, 22, 14, 16, 4, 17, 2, 0, 23, 19, 20, 13, 10, 5, 4, 0, 17, 19, 14, 2, 20, 4, 7, 9, 16, 16, 9, 9, 9, 15, 14, 23, 10, 1, 5, 23]
[13, 20, 9, 13, 10, 4, 14, 7, 9, 21, 10, 9, 9, 13, 15, 16, 4, 13, 13, 15, 16, 0, 14, 6, 22, 15, 1, 2, 5, 6, 16, 19, 2, 6, 8, 0, 2, 8, 2, 16, 15, 19, 5, 5, 4, 17, 1, 4, 3, 19, 3, 23, 13, 23, 17, 3, 9, 17, 0, 3, 14, 14, 7, 7, 0, 2, 19, 10, 5, 21, 13, 13, 15, 1, 0, 20, 4, 15, 19, 21, 2, 4, 1, 15, 8, 7, 9, 0, 2, 10, 15, 9, 9, 19, 4, 13, 23, 10, 23, 5, 23]
[19, 10, 4, 19, 13, 9, 6, 7, 7, 4, 15, 2, 19, 19, 9, 20, 19, 14, 0, 2, 9, 13, 16, 17, 5, 13, 7, 16, 17, 10, 23, 9, 15, 14, 16, 1, 5, 15, 20, 17, 14, 8, 15, 14, 23, 10, 9, 0, 21, 4, 13, 23, 0, 4, 6, 22, 20, 4, 13, 9, 17, 0, 15, 16, 6, 14, 22, 14, 16, 4, 17, 2, 5, 16, 19, 20, 13, 10, 3, 4, 0, 13, 19, 22, 2, 20, 4, 7, 9, 5, 6, 10, 21, 0, 8, 16, 5, 3, 14, 23, 23]
[19, 10, 4, 19, 13, 9, 6, 7, 7, 4, 15, 2, 19, 19, 9, 20, 19, 14, 0, 2, 9, 13, 16, 17, 5, 13, 7, 16, 17, 10, 23, 9, 15, 14, 16, 1, 5, 15, 20, 17, 14, 8, 15, 14, 23, 10, 9, 0, 21, 4, 13, 23, 0, 4, 6, 22, 20, 4, 13, 9, 17, 0, 15, 16, 6, 14, 22, 14, 16, 4, 17, 2, 5, 16, 19, 20, 13, 10, 3, 4, 0, 13, 19, 22, 2, 20, 4, 7, 9, 5, 6, 10, 21, 0, 8, 16, 5, 3, 14, 6, 1]
[13, 20, 9, 13, 10, 4, 14, 7, 9, 21, 10, 9, 9, 13, 15, 16, 4, 13, 13, 15, 16, 0, 14, 6, 22, 15, 1, 2, 5, 6, 16, 19, 2, 6, 8, 0, 2, 8, 2, 16, 15, 19, 5, 5, 4, 17, 1, 4, 3, 19, 3, 23, 13, 23, 17, 3, 9, 17, 0, 3, 14, 14, 7, 7, 0, 2, 19, 10, 5, 21, 13, 13, 15, 1, 0, 20, 4, 15, 19, 21, 2, 4, 1, 15, 8, 7, 9, 0, 22, 10, 15, 9, 9, 19, 4, 21, 6, 10, 23, 14, 23]
[13, 3, 7, 21, 10, 8, 14, 0, 5, 21, 10, 10, 21, 14, 6, 0, 4, 13, 13, 17, 8, 16, 19, 13, 14, 9, 8, 2, 23, 2, 20, 9, 8, 22, 9, 9, 14, 15, 4, 16, 23, 21, 7, 6, 2, 4, 0, 5, 10, 0, 7, 14, 15, 20, 1, 4, 5, 5, 13, 7, 19, 9, 5, 5, 0, 9, 20, 2, 8, 19, 22, 2, 21, 17, 3, 5, 7, 6, 19, 14, 22, 0, 1, 20, 4, 8, 8, 13, 6, 16, 13, 14, 23, 6, 13, 23, 20, 15, 13, 19, 3]
[13, 3, 5, 4, 20, 7, 10, 3, 1, 10, 9, 20, 16, 13, 5, 15, 4, 13, 13, 15, 13, 19, 6, 6, 16, 13, 4, 23, 5, 6, 16, 23, 21, 5, 9, 0, 2, 8, 6, 8, 21, 22, 9, 8, 0, 14, 0, 7, 3, 19, 8, 22, 15, 23, 17, 3, 9, 10, 0, 3, 21, 6, 5, 8, 0, 3, 19, 9, 4, 21, 16, 4, 15, 19, 0, 20, 4, 15, 19, 21, 0, 4, 1, 17, 3, 8, 9, 22, 2, 10, 15, 9, 9, 19, 4, 13, 23, 10, 23, 5, 23]
[19, 10, 4, 19, 13, 9, 6, 7, 7, 4, 15, 2, 19, 19, 9, 20, 19, 14, 0, 2, 9, 13, 16, 17, 5, 13, 7, 16, 17, 10, 23, 9, 15, 14, 16, 1, 5, 15, 20, 17, 14, 8, 15, 14, 23, 10, 9, 0, 21, 4, 13, 23, 0, 4, 6, 22, 20, 4, 13, 9, 17, 0, 15, 16, 6, 14, 22, 14, 16, 4, 17, 2, 5, 16, 19, 20, 13, 10, 3, 4, 0, 13, 19, 22, 2, 20, 4, 7, 9, 16, 16, 9, 9, 2, 8, 9, 23, 10, 23, 5, 23]
